WALLET_SIZE,ENS,ARB_DELEGATED,USER_DELEGATED
+1000 ARB Delegation(TOP WALLETS),P2P.org,2465391.24728442,673
100-500 ARB Delegation(MEDIUM),丰密kuiqian.eth,538128.703038496,2054
500-1000 ARB Delegation(LARGE),Ceazor Snack Sandwich,554987.791757495,542
+1000 ARB Delegation(TOP WALLETS),Ceazor Snack Sandwich,9171558.1305646,1278
500-1000 ARB Delegation(LARGE),Gauntlet,441432.467748057,465
500-1000 ARB Delegation(LARGE),Griff Green,305706.839937343,348
100-500 ARB Delegation(MEDIUM),mihal.eth,150457.720247299,343
500-1000 ARB Delegation(LARGE),Utopia Labs,433054.493552901,474
500-1000 ARB Delegation(LARGE),litocoen,10388649.4053083,645
100-500 ARB Delegation(MEDIUM),olimpio.eth,4532661.11010374,9544
500-1000 ARB Delegation(LARGE),powerkee.eth,259494.693448936,288
