DELEGATE,GOVERNOR,FOR,AGAINST,ABSTAIN,VOTES,DELEGATE_POWER,PERCENT_QUORUM
0x0a9eeddaa65546ad35d3f0ac9e6f09575e4c9297,Arbitrum Treasury,3,"null","null",3,766898.05115237,0.9994761516
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,Arbitrum Treasury,10,"null",2,12,754070.010075159,0.982757735
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,Arbitrum Core,8,"null","null",8,754070.010075159,0.589670011
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,Arbitrum Treasury,12,"null","null",12,745454.894652487,0.9715299031
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,Arbitrum Core,5,"null","null",5,745454.894652487,0.5829331363
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,Arbitrum Core,1,"null","null",1,728871.204474075,0.5699649707
0x3c5aac016ef2f178e8699d6208796a2d67557fe2,Arbitrum Treasury,1,"null","null",1,728871.204474075,0.9499168571
0x05bd5b09e673405e671493b24ecbf43188d5d4c3,Arbitrum Core,1,"null","null",1,675595.954086969,0.5283046247
0x05bd5b09e673405e671493b24ecbf43188d5d4c3,Arbitrum Treasury,2,"null","null",2,675595.954086969,0.8804847571
0xea172676e4105e92cc52dbf45fd93b274ec96676,Arbitrum Treasury,6,2,1,9,533188.383416021,0.69488907
0xea172676e4105e92cc52dbf45fd93b274ec96676,Arbitrum Core,7,"null","null",7,533188.383416021,0.4169443098
0xa6e8772af29b29b9202a073f8e36f447689beef6,Arbitrum Core,4,"null","null",4,530880.323354409,0.4151394459
0xa6e8772af29b29b9202a073f8e36f447689beef6,Arbitrum Treasury,7,1,"null",8,530880.323354409,0.6918810418
0x88bd639d6b029596b029c61490f29f57b0bf4a3f,Arbitrum Core,9,"null","null",9,497500.164247352,0.3890367252
0x88bd639d6b029596b029c61490f29f57b0bf4a3f,Arbitrum Treasury,9,1,"null",10,497500.164247352,0.6483776414
0xafd5f60aa8eb4f488eaa0ef98c1c5b0645d9a0a0,Arbitrum Core,6,"null","null",6,489607.323264274,0.3828646569
0xafd5f60aa8eb4f488eaa0ef98c1c5b0645d9a0a0,Arbitrum Treasury,7,4,1,12,489607.323264274,0.638091129
0x0579a616689f7ed748dc07692a3f150d44b0ca09,Arbitrum Treasury,1,"null","null",1,476016.963780088,0.6203792047
0x0579a616689f7ed748dc07692a3f150d44b0ca09,Arbitrum Core,2,"null","null",2,476016.963780088,0.3722372254
0x5f38bb373dccb91ad9fd3727c2b9baf6df9332d3,Arbitrum Treasury,12,1,"null",13,462721.939837146,0.6030521828
0x5f38bb373dccb91ad9fd3727c2b9baf6df9332d3,Arbitrum Core,6,1,"null",7,462721.939837146,0.3618407412
0xbf122ac9ee2cdd537fe404ade218159051ba9455,Arbitrum Treasury,6,"null","null",6,450363.801567886,0.5869461769
0xbf122ac9ee2cdd537fe404ade218159051ba9455,Arbitrum Core,1,"null","null",1,450363.801567886,0.3521768858
0x62d6e8c7c03d3fc6276d3a44977c2501593bb90a,Arbitrum Treasury,2,1,"null",3,441926.095052268,0.575949557
0x62d6e8c7c03d3fc6276d3a44977c2501593bb90a,Arbitrum Core,2,"null","null",2,441926.095052268,0.3455787418
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,Arbitrum Core,2,4,"null",6,426497.391876648,0.3335137566
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,Arbitrum Treasury,6,"null","null",6,426497.391876648,0.5558417723
0xe4bbc92d50ee4cc0b625fa5705319bf343d9321e,Arbitrum Treasury,3,"null","null",3,417174.24928328,0.543691189
0xe4bbc92d50ee4cc0b625fa5705319bf343d9321e,Arbitrum Core,1,"null","null",1,417174.24928328,0.3262232165
0x4149dfbe618d83c80b0d4d537a7827f3d537b45c,Arbitrum Treasury,1,"null","null",1,407050.257115907,0.5304968814
0x4149dfbe618d83c80b0d4d537a7827f3d537b45c,Arbitrum Core,2,"null","null",2,407050.257115907,0.3183064256
0xf9473a70724b8f79c3ea108d5cb69d042c9fe76c,Arbitrum Treasury,2,"null","null",2,394103.789787315,0.5136241233
0x0610623d8e9ac26bac3e53b9144d6e46d60691d1,Arbitrum Treasury,3,"null","null",3,359851.264543974,0.4689837932
0x0610623d8e9ac26bac3e53b9144d6e46d60691d1,Arbitrum Core,3,"null",1,4,359851.264543974,0.2813976107
0xc37b40abdb939635068d3c5f13e7faf686f03b65,Arbitrum Core,3,"null","null",3,298949.131626817,0.2337731714
0xc37b40abdb939635068d3c5f13e7faf686f03b65,Arbitrum Treasury,5,1,"null",6,298949.131626817,0.3896117967
0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,Arbitrum Core,5,"null","null",5,292263.206997761,0.2285448913
0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,Arbitrum Treasury,7,"null",2,9,292263.206997761,0.3808982236
0xd3efbc65713c307d3057b7e0979a996f6a9799ac,Arbitrum Treasury,1,"null","null",1,285365.884654663,0.371909142
0x3474b429fd62caa34ee19ad7af89a7717262fa78,Arbitrum Treasury,5,"null","null",5,278233.790296543,0.3626140887
0x3474b429fd62caa34ee19ad7af89a7717262fa78,Arbitrum Core,3,"null","null",3,278233.790296543,0.2175741244
0x48325a312d7d91ce9278d977cbdf7ffd7a14abd1,Arbitrum Core,3,"null","null",3,253763.113348931,0.1984384684
0x48325a312d7d91ce9278d977cbdf7ffd7a14abd1,Arbitrum Treasury,6,"null","null",6,253763.113348931,0.33072216
0x8f1fb491b1da29427d0d8dcc2a162378cf19768b,Arbitrum Core,1,"null","null",1,252291.874511452,0.1972879844
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,Arbitrum Core,6,5,"null",11,244740.837559925,0.1913832011
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,Arbitrum Treasury,3,5,2,10,244740.837559925,0.3189636877
0x91a55d0048f101083405e81f4b46c90bc7c3c45a,Arbitrum Core,5,1,"null",6,240751.155214454,0.1882633369
0x91a55d0048f101083405e81f4b46c90bc7c3c45a,Arbitrum Treasury,3,"null","null",3,240751.155214454,0.3137640495
0xde6b2a06407575b98724818445178c1f5fd53361,Arbitrum Core,1,"null","null",1,237060.615267614,0.185377397
0x731a4091f904d6269a3a929e2a06101b579f7c89,Arbitrum Core,1,"null","null",1,205713.191708454,0.1608642412
0x731a4091f904d6269a3a929e2a06101b579f7c89,Arbitrum Treasury,2,"null","null",2,205713.191708454,0.2681000804
0x43d3938ebd74106e2d177f9a304c1e9f914f2b52,Arbitrum Core,7,1,"null",8,173753.275199661,0.1358721264
0x43d3938ebd74106e2d177f9a304c1e9f914f2b52,Arbitrum Treasury,9,1,2,12,173753.275199661,0.2264476413
0x8747d9eb39085f082ab40a9975001276296027dd,Arbitrum Treasury,1,"null",1,2,168261.562508134,0.2192904503
0x8747d9eb39085f082ab40a9975001276296027dd,Arbitrum Core,1,"null","null",1,168261.562508134,0.1315776998
0xbec643bd5b7f5e9190617ca4187ef0455950c51c,Arbitrum Core,4,4,"null",8,167737.103403633,0.1311675816
0xbec643bd5b7f5e9190617ca4187ef0455950c51c,Arbitrum Treasury,6,3,1,10,167737.103403633,0.2186069378
0xd4879f876ee383067f80acadbe283b93141908e9,Arbitrum Treasury,9,2,"null",11,162499.338150742,0.2117807092
0xd4879f876ee383067f80acadbe283b93141908e9,Arbitrum Core,6,"null","null",6,162499.338150742,0.1270717377
0x41601c464eb6be977b82375275a23899be0bdf0e,Arbitrum Treasury,3,"null","null",3,156017.37,0.2033329467
0x41601c464eb6be977b82375275a23899be0bdf0e,Arbitrum Core,2,"null","null",2,156017.37,0.1220029481
0x88ce30f11723e38ffafa91a22462e57222433467,Arbitrum Core,1,"null","null",1,149759.777334066,0.1171096163
0x054becf10c79afa4e60f75b187837be9fb83867d,Arbitrum Treasury,13,1,1,15,144195.467489845,0.1879258015
0x054becf10c79afa4e60f75b187837be9fb83867d,Arbitrum Core,10,2,"null",12,144195.467489845,0.11275842
0x05992a9b0b81dacd2e9debfe659f4a9084e8d7b7,Arbitrum Treasury,3,2,"null",5,143060.21438528,0.1864462588
0x70fb66bd5d308d4655cb637ed21d4058e33467d5,Arbitrum Treasury,5,4,"null",9,142196.760676873,0.1853209445
0x70fb66bd5d308d4655cb637ed21d4058e33467d5,Arbitrum Core,3,4,"null",7,142196.760676873,0.111195465
0x36d6bdac809826355078bb9b1cd0701faf1f2729,Arbitrum Treasury,3,1,"null",4,133653.91558504,0.1741873004
0x36d6bdac809826355078bb9b1cd0701faf1f2729,Arbitrum Core,2,"null","null",2,133653.91558504,0.1045151045
0x610336e20ac62fa46bfc38d7488d66568252ae92,Arbitrum Core,2,"null","null",2,117401.730801135,0.09180617047
0x610336e20ac62fa46bfc38d7488d66568252ae92,Arbitrum Treasury,4,"null","null",4,117401.730801135,0.1530062958
0xde96e75c7160d70a447a72afdb75ddfa1455c808,Arbitrum Core,8,"null","null",8,115682.764723558,0.09046196804
0xde96e75c7160d70a447a72afdb75ddfa1455c808,Arbitrum Treasury,10,3,1,14,115682.764723558,0.1507660168
0x7973e953321f99cea25b3cceeeaa7d83da827d77,Arbitrum Treasury,11,"null","null",11,111270.799621458,0.1450160297
0x7973e953321f99cea25b3cceeeaa7d83da827d77,Arbitrum Core,8,"null","null",8,111270.799621458,0.08701188585
0x3bf053ca188be60e801fd9912118fa99979e7304,Arbitrum Core,2,"null","null",2,104151.702141223,0.08144487187
0x3bf053ca188be60e801fd9912118fa99979e7304,Arbitrum Treasury,4,"null","null",4,104151.702141223,0.135737915
0x35b4a7fb1497f4d6b95a1eb429f63061d8b9fef9,Arbitrum Treasury,"null","null",1,1,101121.0735,0.1317881839
0x35b4a7fb1497f4d6b95a1eb429f63061d8b9fef9,Arbitrum Core,"null","null",1,1,101121.0735,0.07907497146
0x8fc548b6b071bf0f2fe64ad1aa6032a6d2037366,Arbitrum Treasury,1,1,"null",2,100413.055324463,0.1308654442
0x5d2ba830c549a4597c99561e57a2125e6f64860d,Arbitrum Treasury,12,"null","null",12,98375.168715023,0.1282095252
0x5d2ba830c549a4597c99561e57a2125e6f64860d,Arbitrum Core,7,1,"null",8,98375.168715023,0.0769277203
0x25cc275cfe3cce1700e816e00d4cd1f60872038a,Arbitrum Core,6,"null","null",6,95243.282009497,0.07447863779
0x25cc275cfe3cce1700e816e00d4cd1f60872038a,Arbitrum Treasury,13,"null","null",13,95243.282009497,0.1241278275
0x72cb40a11781ff0149abb55a1adebe2407575030,Arbitrum Core,3,"null","null",3,93560.277629759,0.0731625568
0x72cb40a11781ff0149abb55a1adebe2407575030,Arbitrum Treasury,3,"null","null",3,93560.277629759,0.1219344163
0x8e22a4c2901da99777d76f80f29640fc81ae96bb,Arbitrum Core,3,5,"null",8,89037.982252385,0.0696261982
0x8e22a4c2901da99777d76f80f29640fc81ae96bb,Arbitrum Treasury,5,5,"null",10,89037.982252385,0.1160406389
0x0f70c8c6236f4335b791637b8603f711f9829a27,Arbitrum Treasury,2,2,"null",4,87160.545101818,0.1135938291
0x578ddbd61a848ef4cd1be71d96ddd70e58fb16ef,Arbitrum Treasury,1,"null",1,2,85624.78,0.1115923107
0x578ddbd61a848ef4cd1be71d96ddd70e58fb16ef,Arbitrum Core,2,"null","null",2,85624.78,0.06695713169
0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,Arbitrum Treasury,1,"null",1,2,84956.902697601,0.1107218854
0xe9b31f8daab3d2855cba7327a4a94b2fcbd594c1,Arbitrum Core,1,"null","null",1,84956.902697601,0.06643486292
0xab205303361af614ebfce3a515fb73fd4b83d82b,Arbitrum Treasury,1,"null","null",1,80589.17836728,0.1050295561
0xb35659cbac913d5e4119f2af47fd490a45e2c826,Arbitrum Treasury,3,"null",1,4,80310.76357207,0.1046667061
0xb35659cbac913d5e4119f2af47fd490a45e2c826,Arbitrum Core,2,"null","null",2,80310.76357207,0.0628016606
0x5f367bf126fda56d88ba88a8978d5496c66b3569,Arbitrum Treasury,9,1,"null",10,79309.403666332,0.1033616625
0x5f367bf126fda56d88ba88a8978d5496c66b3569,Arbitrum Core,8,1,"null",9,79309.403666332,0.06201861407
0x382cab376440f92d4943f8b47dd45645cf98be0c,Arbitrum Core,9,"null","null",9,76775.176760755,0.06003689143
0x382cab376440f92d4943f8b47dd45645cf98be0c,Arbitrum Treasury,10,3,"null",13,76775.176760755,0.1000588776
0xf971487c1e6a2bde1bc824ad9290351abfc3e236,Arbitrum Treasury,1,"null","null",1,75000,0.09774534081
0xdc08a78279404d3614c55dd1945a029b8cb8fc8f,Arbitrum Core,3,"null","null",3,74999.9605,0.0586487023
0xdc08a78279404d3614c55dd1945a029b8cb8fc8f,Arbitrum Treasury,8,"null","null",8,74999.9605,0.09774528933
0xa58cc23a546b6ce08ee258cfb54d92d4cc151ba4,Arbitrum Treasury,2,2,"null",4,71496.738913959,0.09317964149
0xa58cc23a546b6ce08ee258cfb54d92d4cc151ba4,Arbitrum Core,1,1,"null",2,71496.738913959,0.05590924219
0x8e8175f7be6044f90143b0bbc0c021eb2d484002,Arbitrum Core,8,"null","null",8,70710.861516465,0.05529469934
