TIMESPAN,VOTE_OPTION,VOTERS,CUMUL_VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER,CUMUL_VOTING_POWER
2023-10-05 00:00:00.000,For,658,288082,658,391144,"null","null"
2023-10-05 00:00:00.000,Against,18,30035,18,34292,"null","null"
2023-10-06 00:00:00.000,Abstain,10,15847,10,17005,"null","null"
2023-10-06 00:00:00.000,Against,11,30046,11,34303,"null","null"
2023-10-06 00:00:00.000,For,557,288639,557,391701,"null","null"
2023-10-07 00:00:00.000,For,764,289403,764,392465,"null","null"
2023-10-07 00:00:00.000,Against,38,30084,38,34341,"null","null"
2023-10-07 00:00:00.000,Abstain,5,15852,5,17010,"null","null"
2023-10-08 00:00:00.000,For,587,289990,587,393052,"null","null"
2023-10-08 00:00:00.000,Against,17,30101,17,34358,"null","null"
2023-10-08 00:00:00.000,Abstain,7,15859,7,17017,"null","null"
2023-10-09 00:00:00.000,Against,9,30110,9,34367,"null","null"
2023-10-09 00:00:00.000,For,622,290612,622,393674,"null","null"
2023-10-09 00:00:00.000,Abstain,5,15864,5,17022,"null","null"
2023-10-10 00:00:00.000,For,37,290649,37,393711,"null","null"
2023-11-18 00:00:00.000,For,1,290650,1,393712,"null","null"
2023-11-19 00:00:00.000,For,247,290897,247,393959,"null","null"
2023-11-19 00:00:00.000,Against,166,30276,166,34533,"null","null"
2023-11-19 00:00:00.000,Abstain,4,15868,4,17026,"null","null"
2023-11-20 00:00:00.000,For,513,291410,551,394510,"null","null"
2023-11-20 00:00:00.000,Abstain,41,15909,41,17067,"null","null"
2023-11-20 00:00:00.000,Against,358,30634,361,34894,"null","null"
2023-11-21 00:00:00.000,For,1944,293354,2386,396896,"null","null"
2023-11-21 00:00:00.000,Against,976,31610,987,35881,"null","null"
2023-11-21 00:00:00.000,Abstain,57,15966,58,17125,"null","null"
2023-11-22 00:00:00.000,Against,3388,34998,4234,40115,"null","null"
2023-11-22 00:00:00.000,Abstain,142,16108,158,17283,"null","null"
